DataHora,Par,Preço,High,Low,Volatilidade,Volume,RSI,MACD_Line,Signal_Line,Status
2025-07-27 22:40:46,BTC-USDT,119099.3,119752.2,117855.1,1.59%,2308.11694191,60.25,347.69,313.93,SEM ALERTA
2025-07-27 22:41:40,BTC-USDT,119089.3,119752.2,117855.1,1.59%,2310.47767404,60.0,346.9,313.77,SEM ALERTA
2025-07-27 22:43:07,BTC-USDT,119078.4,119752.2,117855.1,1.59%,2310.12347351,59.74,346.03,313.59,SEM ALERTA
2025-07-27 22:45:02,BTC-USDT,119063.4,119752.2,117855.1,1.59%,2312.55480336,59.37,344.83,313.35,SEM ALERTA
2025-07-27 22:48:23,BTC-USDT,119010.9,119752.2,117855.1,1.59%,2320.94000108,58.14,340.64,312.52,SEM ALERTA
2025-07-27 22:56:31,BTC-USDT,118961.0,119752.2,117855.1,1.59%,2327.35303391,57.15,337.16,311.82,SEM ALERTA
2025-08-01 03:34:09,BTC-USDT,115947.8,118908.3,114312.5,3.96%,2759.32419002,35.1,-655.06,-459.56,SEM ALERTA
2025-08-01 03:34:10,ETH-USDT,3716.41,3878.11,3616.55,7.04%,62166.44702496,37.92,-31.13,-24.07,SEM ALERTA
2025-08-01 03:34:10,SOL-USDT,171.854,182.651,167.451,8.84%,467280.2796653,36.06,-2.27,-1.68,SEM ALERTA
2025-08-01 03:37:02,BTC-USDT,115907.0,118908.3,114312.5,3.97%,2762.50303526,34.75,-658.31,-460.21,SEM ALERTA
2025-08-01 03:37:03,ETH-USDT,3713.06,3878.11,3616.55,7.04%,62095.33284876,37.06,-31.48,-24.14,SEM ALERTA
2025-08-01 03:37:04,SOL-USDT,171.852,182.651,167.451,8.84%,467535.4976653,35.78,-2.27,-1.68,SEM ALERTA
2025-08-01 03:37:05,ADA-USDT,0.7387,0.7894,0.7174,9.75%,23374481.18088788,34.64,-0.01,-0.01,SEM ALERTA
2025-08-01 03:37:06,XRP-USDT,3.01421,3.17907,2.92863,8.31%,33597476.40254757,35.73,-0.03,-0.02,SEM ALERTA
2025-08-01 03:37:07,DOGE-USDT,0.21016,0.22562,0.20328,10.63%,184711690.90770736,35.57,-0.0,-0.0,SEM ALERTA
2025-08-01 03:37:08,AVAX-USDT,22.458,24.112,21.804,10.28%,444866.09524243,34.69,-0.34,-0.29,SEM ALERTA
2025-08-01 03:37:09,DOT-USDT,3.7105,3.9205,3.5864,9.00%,1183308.8172,39.19,-0.04,-0.04,SEM ALERTA
2025-08-01 03:37:10,BNB-USDT,784.576,814.572,774.917,5.05%,10998.1036,40.31,-3.55,-2.06,SEM ALERTA
2025-08-01 03:37:11,LINK-USDT,16.9523,18.2321,16.4409,10.57%,1507509.326,34.57,-0.25,-0.19,SEM ALERTA
2025-08-01 03:37:12,ATOM-USDT,4.2373,4.5149,4.09,10.03%,114843.7126,35.99,-0.07,-0.06,SEM ALERTA
2025-08-01 03:37:13,LTC-USDT,106.733,111.385,103.807,7.10%,197550.33,37.18,-0.92,-0.66,SEM ALERTA
2025-08-01 03:37:13,BCH-USDT,569.28,588.79,553.0,6.29%,3391.5938,48.73,-3.38,-2.6,SEM ALERTA
2025-08-01 03:37:14,FIL-USDT,2.3875,2.5489,2.313,9.88%,415043.2425,31.32,-0.04,-0.03,SEM ALERTA
2025-08-01 03:37:15,AAVE-USDT,261.241,279.894,254.705,9.64%,11883.9092,32.19,-4.27,-3.68,SEM ALERTA
2025-08-01 03:37:16,NEAR-USDT,2.5392,2.7365,2.454,11.13%,2583520.19065549,34.56,-0.04,-0.03,SEM ALERTA
2025-08-01 03:37:17,SAND-USDT,0.27364,0.29539,0.26613,10.69%,702931.5546,29.64,-0.0,-0.0,SEM ALERTA
2025-08-01 03:37:17,AXS-USDT,2.291,2.467,2.222,10.69%,45306.7158,35.02,-0.04,-0.03,SEM ALERTA
2025-08-01 03:37:18,APE-USDT,0.5739,0.6115,0.5513,10.49%,630831.8616,36.17,-0.01,-0.01,SEM ALERTA
2025-08-01 03:37:20,VET-USDT,0.02314,0.02492,0.02243,10.76%,52871245.40121934,34.48,-0.0,-0.0,SEM ALERTA
2025-08-01 03:37:21,ICP-USDT,5.277,5.583,5.124,8.70%,250942.90595885,39.66,-0.06,-0.04,SEM ALERTA
2025-08-01 03:37:21,HBAR-USDT,0.25332,0.27892,0.24387,13.84%,56256128.28241158,40.33,-0.0,-0.0,SEM ALERTA
2025-08-01 03:49:26,BTC-USDT,115780.1,118908.3,114312.5,3.97%,2772.54060878,33.73,-668.44,-462.23,ALERTA ENVIADO
2025-08-01 03:49:28,ETH-USDT,3708.03,3878.11,3616.55,7.05%,62059.87860972,36.24,-31.86,-24.22,ALERTA ENVIADO
